Grupo;Espécie;Classe;Ordem;Família;Gênero;scientificNameAuthorship;vernacularName;lifeForm
Angiosperms;Actinostemon concolor;Magnoliopsida;Malpighiales;Euphorbiaceae;Actinostemon;(Spreng.) Müll.Arg.;branquinho, laranjeira-do-mato, laranjeira-brava, laranjeira-do-mato, pau-rainha, feicasse, laranjeira-brava, barreiro, guamirim, limoeiro, canela-de-veado;"Shrub;Tree"
Angiosperms;Actinostemon roseliae;Magnoliopsida;Malpighiales;Euphorbiaceae;Actinostemon;L.Oliveira, A.L.Melo & M.F.Sales;branquilho;"Shrub;Tree"
Angiosperms;Aegiphila brachiata;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila;Vell.;;"Shrub;Tree"
Angiosperms;Aegiphila integrifolia;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila;(Jacq.) Moldenke;;"Shrub;Tree"
Angiosperms;Aegiphila mediterranea;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila;Vell.;;Tree
Angiosperms;Aegiphila obducta;Magnoliopsida;Lamiales;Lamiaceae;Aegiphila;Vell.;;"Liana/scandent/vine;Shrub;Tree"
Angiosperms;Agonandra excelsa;Magnoliopsida;Santalales;Opiliaceae;Agonandra;Griseb.;;"Shrub;Tree"
Angiosperms;Aiouea hatschbachii;Magnoliopsida;Laurales;Lauraceae;Aiouea;(Vattimo-Gil) R.Rohde;;"Shrub;Tree"
Angiosperms;Aiouea sellowiana;Magnoliopsida;Laurales;Lauraceae;Aiouea;(Nees & Mart.) R.Rohde;;Tree
Angiosperms;Allophylus edulis;Magnoliopsida;Sapindales;Sapindaceae;Allophylus;(A.St.-Hil. et al.) Hieron. ex Niederl.;vacum, baga-de-morcego, tres-folhas-do-mato, murta-vermelha, murici-brava, chal-chal, perta-cu, fruto-do-rei, vacunzinho, fruto-de-pombo, canhou, fruta-de-parao;"Shrub;Tree"
Angiosperms;Allophylus guaraniticus;Magnoliopsida;Sapindales;Sapindaceae;Allophylus;(A. St.-Hil.) Radlk.;chal-chal, guamerim, vacum, vacunzinho, vacum-mirim;"Shrub;Tree"
Angiosperms;Aloysia virgata;Magnoliopsida;Lamiales;Verbenaceae;Aloysia;(Ruiz & Pav.) Juss.;;"Shrub;Tree"
Angiosperms;Alseis floribunda;Magnoliopsida;Gentianales;Rubiaceae;Alseis;Schott;alma-da-serra, quina-de-sao-paulo, taruma;Tree
Ferns and Lycophytes;Alsophila setosa;Polypodiopsida;Cyatheales;Cyatheaceae;Alsophila;Kaulf.;;Tree
Angiosperms;Annona sylvatica;Magnoliopsida;Magnoliales;Annonaceae;Annona;A.St.-Hil.;alchexu, araticu, affenbeeren, araticu-do-mata, araticum, araticum-grande, bananinha, biriba, cortica, cortica-de-comer, embira-vermelha, pinha;Tree
Angiosperms;Apuleia leiocarpa;Magnoliopsida;Fabales;Fabaceae;Apuleia;(Vogel) J.F.Macbr.;grapia, grapiapunha, garapa-branca, garapa, garapeira, mulateira, cumaru-cetim, cumaru-ferro, muirajuba, muirataua, mitaroa, amarelao, amarelo;"Shrub;Tree"
Gymnosperms;Araucaria angustifolia;Pinopsida;Pinales;Araucariaceae;Araucaria;(Bertol.) Kuntze;araucaria, pinheiro-do-parana, curi, pinheiro-brasileiro, pinho-do-parana;Tree
Angiosperms;Azara uruguayensis;Magnoliopsida;Malpighiales;Salicaceae;Azara;(Speg.) Sleumer;;"Shrub;Tree"
Angiosperms;Baccharis montana;Magnoliopsida;Asterales;Asteraceae;Baccharis;DC.;alecrim, alecrim-do-mato;"Shrub;Tree"
Angiosperms;Baccharis oreophila;Magnoliopsida;Asterales;Asteraceae;Baccharis;Malme;alecrim, vassoura;"Shrub;Tree"
Angiosperms;Baccharis semiserrata;Magnoliopsida;Asterales;Asteraceae;Baccharis;DC.;alecrim, alecrim-do-mato;"Shrub;Tree"
Angiosperms;Banara tomentosa;Magnoliopsida;Malpighiales;Salicaceae;Banara;Clos;;"Shrub;Tree"
Angiosperms;Bauhinia forficata;Magnoliopsida;Fabales;Fabaceae;Bauhinia;Link;;Tree
Angiosperms;Berberis laurina;Magnoliopsida;Ranunculales;Berberidaceae;Berberis;Billb.;espinho-de-sao-joao;"Shrub;Tree"
Angiosperms;Bernardia pulchella;Magnoliopsida;Malpighiales;Euphorbiaceae;Bernardia;(Baill.) Müll.Arg.;;"Shrub;Tree"
Angiosperms;Blepharocalyx salicifolius;Magnoliopsida;Myrtales;Myrtaceae;Blepharocalyx;(Kunth) O.Berg;;"Shrub;Tree"
Angiosperms;Bougainvillea glabra;Magnoliopsida;Caryophyllales;Nyctaginaceae;Bougainvillea;Choisy;juvu, tres-marias, primavera, buganvilia;"Liana/scandent/vine;Shrub;Tree"
Angiosperms;Bougainvillea spectabilis;Magnoliopsida;Caryophyllales;Nyctaginaceae;Bougainvillea;Willd.;tres-marias, primavera, tapirica, roseira-do-mato;"Liana/scandent/vine;Tree"
Angiosperms;Brasiliopuntia brasiliensis;Magnoliopsida;Caryophyllales;Cactaceae;Brasiliopuntia;(Willd.) A.Berger;urumbeba, rumbeba, cumbeba, mumbeca, mumbebo, facho-de-renda, palmatoria-grande, palmatoria-do-diabo, ambeba, arumbeva, gerumbeba, jurubeba, palmadora, palmatoria, xiquexique-do-sertao;"Shrub;Succulent;Tree"
Angiosperms;Bunchosia maritima;Magnoliopsida;Malpighiales;Malpighiaceae;Bunchosia;(Vell.) J.F.Macbr.;;"Shrub;Tree"
Angiosperms;Calliandra tweedii;Magnoliopsida;Fabales;Fabaceae;Calliandra;Benth.;esponjinha-vermelha, esponjinha-sangue, esponjinha, mandarare, caliandra;"Shrub;Tree"
Angiosperms;Campomanesia guaviroba;Magnoliopsida;Myrtales;Myrtaceae;Campomanesia;(DC.) Kiaersk.;guabiroba, gabiroba, guabirobao, guabirobao-da-ilha;Tree
Angiosperms;Campomanesia guazumifolia;Magnoliopsida;Myrtales;Myrtaceae;Campomanesia;(Cambess.) O.Berg;;Tree
Angiosperms;Campomanesia neriiflora;Magnoliopsida;Myrtales;Myrtaceae;Campomanesia;(O.Berg) Nied.;;"Shrub;Tree"
Angiosperms;Campomanesia xanthocarpa;Magnoliopsida;Myrtales;Myrtaceae;Campomanesia;(Mart.) O.Berg;gabiroba;Tree
Angiosperms;Casearia gossypiosperma;Magnoliopsida;Malpighiales;Salicaceae;Casearia;Briq.;laranjinha, pau-de-espeto, vidro;Tree
Angiosperms;Casearia lasiophylla;Magnoliopsida;Malpighiales;Salicaceae;Casearia;Eichler;;"Shrub;Tree"
Angiosperms;Casearia mariquitensis;Magnoliopsida;Malpighiales;Salicaceae;Casearia;Kunth;cafezinho-do-mato, espeteiro;Tree
Angiosperms;Casearia obliqua;Magnoliopsida;Malpighiales;Salicaceae;Casearia;Spreng.;;"Shrub;Tree"
Angiosperms;Casearia paranaensis;Magnoliopsida;Malpighiales;Salicaceae;Casearia;Sleumer;;Tree
Angiosperms;Casearia pauciflora;Magnoliopsida;Malpighiales;Salicaceae;Casearia;Cambess.;;"Shrub;Tree"
Angiosperms;Casearia sylvestris;Magnoliopsida;Malpighiales;Salicaceae;Casearia;Sw.;guacatonga, pau-de-lagarto;"Shrub;Subshrub;Tree"
Angiosperms;Cassia leptophylla;Magnoliopsida;Fabales;Fabaceae;Cassia;Vogel;;Tree
Angiosperms;Cecropia glaziovii;Magnoliopsida;Rosales;Urticaceae;Cecropia;Snethl.;embauba-vermelha;Tree
Angiosperms;Cecropia pachystachya;Magnoliopsida;Rosales;Urticaceae;Cecropia;Trécul;embauba, embauba-branca;Tree
Angiosperms;Celtis boliviensis;Magnoliopsida;Rosales;Cannabaceae;Celtis;Planch.;;"Shrub;Tree"
Angiosperms;Celtis tarijensis;Magnoliopsida;Rosales;Cannabaceae;Celtis;(Wedd.) Zamengo, Chamorro & Oakley;;"Liana/scandent/vine;Shrub;Tree"
Angiosperms;Cestrum axillare;Magnoliopsida;Solanales;Solanaceae;Cestrum;Vell.;anilao, cairana, canema, coerana, coerana-branca, dama-da-noite, joao-mole, maria-branca, maria-preta, quarana;Tree
Angiosperms;Cestrum intermedium;Magnoliopsida;Solanales;Solanaceae;Cestrum;Sendtn.;coerana;"Shrub;Tree"
Angiosperms;Chionanthus filiformis;Magnoliopsida;Lamiales;Oleaceae;Chionanthus;(Vell.) P.S.Green;;Tree
Angiosperms;Chomelia obtusa;Magnoliopsida;Gentianales;Rubiaceae;Chomelia;Cham. & Schltdl.;rompe-gibao, tapaquita, quina-cruzeiro, limaorana;"Shrub;Tree"
Angiosperms;Cinnamodendron dinisii;Magnoliopsida;Canellales;Canellaceae;Cinnamodendron;Schwacke;pau-amargo, paratudo, pau-para-tudo, pimenteira;Tree
Angiosperms;Cinnamomum hirsutum;Magnoliopsida;Laurales;Lauraceae;Cinnamomum;(Lorea-Hern.) van der Werff;;Tree
Angiosperms;Cinnamomum pseudoglaziovii;Magnoliopsida;Laurales;Lauraceae;Cinnamomum;(Lorea-Hern.) Van der Werff;;Tree
Angiosperms;Citharexylum myrianthum;Magnoliopsida;Lamiales;Verbenaceae;Citharexylum;Cham.;;Tree
Angiosperms;Citharexylum solanaceum;Magnoliopsida;Lamiales;Verbenaceae;Citharexylum;Cham.;;"Shrub;Tree"
Angiosperms;Citronella apogon;Magnoliopsida;Cardiopteridales;Cardiopteridaceae;Citronella;(Griseb.) R.A.Howard;laurel;"Shrub;Tree"
Angiosperms;Citronella gongonha;Magnoliopsida;Cardiopteridales;Cardiopteridaceae;Citronella;(Mart.) R.A.Howard;congonha, congonha-de-bugre, congonha-do-sertao, congonha-falsa, erva-de-anta, falso-mate, inhane, yapon, yerba-de-palos-de-paraguayos;"Shrub;Tree"
Angiosperms;Clethra scabra;Magnoliopsida;Ericales;Clethraceae;Clethra;Pers.;carne-de-vaca, caujuja;"Shrub;Tree"
Angiosperms;Clethra uleana;Magnoliopsida;Ericales;Clethraceae;Clethra;Sleumer;caujuja-de-ule;"Shrub;Tree"
Angiosperms;Coccoloba glaziovii;Magnoliopsida;Caryophyllales;Polygonaceae;Coccoloba;Lindau;cabacu, folha-larga-da-mata, canacu;"Shrub;Tree"
Angiosperms;Coccoloba persicaria;Magnoliopsida;Caryophyllales;Polygonaceae;Coccoloba;Wedd.;;"Shrub;Tree"
Angiosperms;Coccoloba warmingii;Magnoliopsida;Caryophyllales;Polygonaceae;Coccoloba;Meisn.;cauacu, pau-de-cachimbo, caixao, catureiro-vermelho;"Shrub;Tree"
Angiosperms;Cordia ecalyculata;Magnoliopsida;Boraginales;Cordiaceae;Cordia;Vell.;cha-de-bugre;Tree
Angiosperms;Coussapoa microcarpa;Magnoliopsida;Rosales;Urticaceae;Coussapoa;(Schott) Rizzini;mata-pau;"Shrub;Tree"
Angiosperms;Coutarea hexandra;Magnoliopsida;Gentianales;Rubiaceae;Coutarea;(Jacq.) K.Schum.;capirona, capanca-vermelha;"Shrub;Tree"
Angiosperms;Cryptocarya aschersoniana;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;Mez;canela-areia, canela-fogo;Tree
Angiosperms;Curitiba prismatica;Magnoliopsida;Myrtales;Myrtaceae;Curitiba;(D.Legrand) Salywon & Landrum;guamirim, cambui, mureira, murta, bosta-de-galinha;"Shrub;Tree"
Angiosperms;Cybistax antisyphilitica;Magnoliopsida;Lamiales;Bignoniaceae;Cybistax;(Mart.) Mart.;caroba-de-flor-verde, caroba-do-campo, espeguilla, fava-de-aranha, ipe-de-flor-verde, ipe-mandioca, ipe-mirim, ipe-verde, llangua, llangua colorado, orcco-huoranhuay, pau-de-mulato, taiiy hoby, yangua, yangua caspi, yangua tinctoria, carobinha-verde, cinco-chagas, ipe-pardo;Tree
Angiosperms;Dalbergia brasiliensis;Magnoliopsida;Fabales;Fabaceae;Dalbergia;Vogel;caroba-brava, jacaranda, marmeleiro;Tree
Angiosperms;Daphnopsis racemosa;Magnoliopsida;Malvales;Thymelaeaceae;Daphnopsis;Griseb.;embira-de-sapo, embira-pimenta;"Shrub;Tree"
Angiosperms;Daphnopsis sellowiana;Magnoliopsida;Malvales;Thymelaeaceae;Daphnopsis;Taub.;embira, embirinha;"Shrub;Tree"
